street,zip,state,city,beds,baths,sq__ft,sale_date,price,latitude,longitude,price_mean,price_median,n_price_mean,s_price_mean,n_sq__ft,s_sq__ft,b_price,p_price,d_Condo,d_Multi-Family,d_Residential,d_Unkown
8151 QUAIL RIDGE CT,95828,CA,SACRAMENTO,3,2,1289,2008-05-20T00:00:00Z,205000.0,38.461296,-121.390858,205000.0,205000.0,0.2303442216659364,-0.2136628213644145,0.22140158021298528,-0.032481744890955185,2,5,0.0,0.0,1.0,0.0
4899 WIND CREEK DR,95838,CA,SACRAMENTO,4,2,1799,2008-05-20T00:00:00Z,,38.655887,-121.446119,147702.0,126854.0,0.16547163338575402,-0.6374135680601969,0.309000343524562,0.5649793501970495,1,3,0.0,0.0,1.0,0.0
2370 BIG CANYON CREEK RD,95667,CA,PLACERVILLE,3,2,0,2008-05-20T00:00:00Z,205000.0,38.74458,-120.794254,205000.0,205000.0,0.2303442216659364,-0.2136628213644145,0.0,-1.5425353754173043,2,5,0.0,0.0,1.0,0.0
6049 HAMBURG WAY,95823,CA,SACRAMENTO,4,3,1953,2008-05-20T00:00:00Z,205000.0,38.44325300000001,-121.431992,205000.0,205000.0,0.2303442216659364,-0.2136628213644145,0.3354517347990381,0.7453891710667607,2,5,0.0,0.0,1.0,0.0
4232 71ST ST,95820,CA,SACRAMENTO,2,1,723,2008-05-20T00:00:00Z,207000.0,38.536741,-121.42115,207000.0,207000.0,0.23260861442939001,-0.19887170311610627,0.12418412916523533,-0.6955464112043094,2,5,0.0,0.0,1.0,0.0
3361 BOW MAR CT,95682,CA,CAMERON PARK,2,2,0,2008-05-20T00:00:00Z,210000.0,38.69437,-120.996602,210000.0,210000.0,0.2360052035745704,-0.17668502574364392,0.0,-1.5425353754173043,2,5,0.0,0.0,1.0,0.0
1889 COLD SPRINGS RD,95667,CA,PLACERVILLE,2,1,948,2008-05-20T00:00:00Z,211500.0,38.739774,-120.860243,211500.0,211500.0,0.23770349814716066,-0.16559168705741276,0.16283064239093095,-0.43196063395960144,2,5,0.0,0.0,1.0,0.0
5805 HIMALAYA WAY,95621,CA,CITRUS HEIGHTS,4,2,1578,2008-05-20T00:00:00Z,215000.0,38.696489,-121.328555,215000.0,215000.0,0.24166618548320445,-0.13970723012287334,0.27104087942287874,0.3060795423255808,2,6,0.0,0.0,1.0,0.0
7944 SYLVAN OAK WAY,95610,CA,CITRUS HEIGHTS,3,2,1317,2008-05-20T00:00:00Z,215000.0,38.710388,-121.261096,215000.0,215000.0,0.24166618548320445,-0.13970723012287334,0.2262109240810718,0.00032004072171957533,2,6,0.0,0.0,1.0,0.0
3139 SPOONWOOD WAY Unit 1,95833,CA,SACRAMENTO,0,0,0,2008-05-20T00:00:00Z,215500.0,38.626582,-121.52151,215500.0,215500.0,0.24223228367406785,-0.1360094505607963,0.0,-1.5425353754173043,2,6,0.0,0.0,1.0,0.0
6217 LEOLA WAY,95824,CA,SACRAMENTO,3,1,1360,2008-05-20T00:00:00Z,222381.0,38.513066,-121.451909,222381.0,222381.0,0.25002292697672995,-0.08512060822749183,0.23359670216420475,0.05069421148404154,2,6,0.0,0.0,1.0,0.0
2340 HURLEY WAY,95825,CA,SACRAMENTO,0,0,0,2008-05-20T00:00:00Z,225000.0,38.588816,-121.408549,225000.0,225000.0,0.2529881493004725,-0.06575163888133223,0.0,-1.5425353754173043,2,6,1.0,0.0,0.0,0.0
3035 BRUNNET LN,95833,CA,SACRAMENTO,3,2,1522,2008-05-20T00:00:00Z,225000.0,38.624762,-121.522775,225000.0,225000.0,0.2529881493004725,-0.06575163888133223,0.2614221916867056,0.24047597110023125,2,6,0.0,0.0,1.0,0.0
3025 EL PRADO WAY,95825,CA,SACRAMENTO,4,2,1751,2008-05-20T00:00:00Z,,38.606603,-121.394147,181592.8,188000.0,0.2038426745195808,-0.3867721528953148,0.3007557540364136,0.5087477177181785,2,4,0.0,0.0,1.0,0.0
9387 GRANITE FALLS CT,95624,CA,ELK GROVE,3,2,1465,2008-05-20T00:00:00Z,225000.0,38.419214,-121.348533,225000.0,225000.0,0.2529881493004725,-0.06575163888133223,0.2516317416695294,0.1737009075315719,2,6,0.0,0.0,1.0,0.0
9257 CALDERA WAY,95826,CA,SACRAMENTO,4,2,1605,2008-05-20T00:00:00Z,,38.55821,-121.355022,184649.42857142846,178047.5,0.20730337832843496,-0.3641666755747361,0.27567846100996224,0.3377098355949458,2,5,0.0,0.0,1.0,0.0
441 ARLINGDALE CIR,95673,CA,RIO LINDA,4,2,1475,2008-05-20T00:00:00Z,229665.0,38.702893,-121.454949,229665.0,229665.0,0.258269845421228,-0.03125135556715327,0.2533493644795603,0.18541583096467004,2,6,0.0,0.0,1.0,0.0
2284 LOS ROBLES RD,95722,CA,MEADOW VISTA,3,1,1216,2008-05-20T00:00:00Z,,39.008159,-121.03623,,,,,0.2088629336997596,-0.11800068595257154,6,11,0.0,0.0,1.0,0.0
8164 CHENIN BLANC LN,95628,CA,FAIR OAKS,2,2,1315,2008-05-20T00:00:00Z,230000.0,38.665644,-121.259969,230000.0,230000.0,0.2586491312091065,-0.02877384326056164,0.2258673995190656,-0.002022943964900051,2,6,0.0,0.0,1.0,0.0
4620 CHAMBERLIN CIR,95757,CA,ELK GROVE,3,2,1567,2008-05-20T00:00:00Z,230000.0,38.390557,-121.449805,230000.0,230000.0,0.2586491312091065,-0.02877384326056164,0.2691514943318447,0.29319312654917284,2,6,0.0,0.0,1.0,0.0
5340 BIRK WAY,95835,CA,SACRAMENTO,3,2,1776,2008-05-20T00:00:00Z,234000.0,38.672495,-121.515251,234000.0,234000.0,0.2631779167360137,0.0008083932360548143,0.3050498110614909,0.5380350263009238,2,6,0.0,0.0,1.0,0.0
51 ANJOU CIR,95835,CA,SACRAMENTO,3,2,2187,2008-05-20T00:00:00Z,235000.0,38.661658,-121.540633,235000.0,235000.0,0.2643101131177405,0.008203952360208927,0.3756441085537616,1.019518379401257,2,6,0.0,0.0,1.0,0.0
2125 22ND AVE,95822,CA,SACRAMENTO,3,1,1291,2008-05-20T00:00:00Z,236250.0,38.534596,-121.493121,236250.0,236250.0,0.265725358594899,0.017448401265401568,0.2217451047749914,-0.03013876020433557,2,6,0.0,0.0,1.0,0.0
611 BLOSSOM ROCK LN,95630,CA,FOLSOM,0,0,0,2008-05-20T00:00:00Z,240000.0,38.6457,-121.1197,240000.0,240000.0,0.2699710950263745,0.0451817479809795,0.0,-1.5425353754173043,2,7,1.0,0.0,0.0,0.0
8830 ADUR RD,95624,CA,ELK GROVE,0,0,0,2008-05-20T00:00:00Z,242000.0,38.43742,-121.372876,242000.0,242000.0,0.2722354877898281,0.05997286622928773,0.0,-1.5425353754173043,2,7,0.0,0.0,1.0,0.0
7344 BUTTERBALL WAY,95842,CA,SACRAMENTO,3,2,1503,2008-05-20T00:00:00Z,245000.0,38.699489,-121.361828,245000.0,245000.0,0.2756320769350085,0.08215954360175008,0.2581587083476469,0.2182176165773448,2,7,0.0,0.0,1.0,0.0
8219 GWINHURST CIR,95828,CA,SACRAMENTO,4,3,2491,2008-05-20T00:00:00Z,,38.459711,-121.384283,181664.90243902442,165000.0,0.2039243086401579,-0.3862389150445139,0.4278598419787015,1.3756520517674402,2,4,0.0,0.0,1.0,0.0
3240 S ST,95816,CA,SACRAMENTO,2,1,1269,2008-05-20T00:00:00Z,245000.0,38.562296,-121.467489,245000.0,245000.0,0.2756320769350085,0.08215954360175008,0.2179663345929234,-0.055911591757151456,2,7,0.0,0.0,1.0,0.0
221 PICASSO CIR,95835,CA,SACRAMENTO,0,0,0,2008-05-20T00:00:00Z,250000.0,38.676658,-121.528128,250000.0,250000.0,0.2812930588436425,0.11913733922252065,0.0,-1.5425353754173043,2,7,0.0,0.0,1.0,0.0
5706 GREENACRES WAY,95662,CA,ORANGEVALE,3,2,1176,2008-05-20T00:00:00Z,250000.0,38.669882,-121.213533,250000.0,250000.0,0.2812930588436425,0.11913733922252065,0.20199244245963585,-0.16486037968496406,2,7,0.0,0.0,1.0,0.0
6900 LONICERA DR,95662,CA,ORANGEVALE,4,2,1456,2008-05-20T00:00:00Z,250000.0,38.692199,-121.250975,250000.0,250000.0,0.2812930588436425,0.11913733922252065,0.2500858811405016,0.1631574764417836,2,7,0.0,0.0,1.0,0.0
419 DAWNRIDGE RD,95678,CA,ROSEVILLE,3,2,1498,2008-05-20T00:00:00Z,250000.0,38.72528300000001,-121.297953,250000.0,250000.0,0.2812930588436425,0.11913733922252065,0.2572998969426314,0.21236015486079574,2,7,0.0,0.0,1.0,0.0
5312 MARBURY WAY,95843,CA,ANTELOPE,3,2,1574,2008-05-20T00:00:00Z,255000.0,38.710221,-121.341651,255000.0,255000.0,0.2869540407522765,0.1561151348432912,0.2703538302988664,0.30139357295234154,2,7,0.0,0.0,1.0,0.0
6344 BONHAM CIR,95610,CA,CITRUS HEIGHTS,5,4,2085,2008-05-20T00:00:00Z,256054.0,38.682358,-121.272876,256054.0,256054.0,0.2881473757386166,0.16391005416014964,0.35812435589144626,0.9000261603836559,2,7,0.0,1.0,0.0,0.0
8207 YORKTON WAY,95829,CA,SACRAMENTO,3,2,2170,2008-05-20T00:00:00Z,257729.0,38.45967,-121.36046100000002,257729.0,257729.0,0.2900438046780089,0.17629761569310778,0.3727241497767089,0.9996030095649902,2,7,0.0,0.0,1.0,0.0
7922 MANSELL WAY,95758,CA,ELK GROVE,4,2,1595,2008-05-20T00:00:00Z,260000.0,38.409634,-121.410787,260000.0,260000.0,0.2926150226609106,0.19309293046406176,0.2739608381999313,0.3259949121618476,2,7,0.0,0.0,1.0,0.0
5712 MELBURY CIR,95843,CA,ANTELOPE,3,2,1567,2008-05-20T00:00:00Z,261000.0,38.705849,-121.334701,261000.0,261000.0,0.2937472190426374,0.20048848958821588,0.2691514943318447,0.29319312654917284,2,7,0.0,0.0,1.0,0.0
632 NEWBRIDGE LN,95648,CA,LINCOLN,4,2,0,2008-05-20T00:00:00Z,261800.0,38.87908400000001,-121.298586,261800.0,261800.0,0.29465297614801883,0.2064049368875392,0.0,-1.5425353754173043,2,7,0.0,0.0,1.0,0.0
1570 GLIDDEN AVE,95822,CA,SACRAMENTO,4,2,1253,2008-05-20T00:00:00Z,264469.0,38.482704,-121.500433,264469.0,264469.0,0.29767480829084764,0.2261436841899065,0.215218138096874,-0.07465546925010846,2,7,0.0,0.0,1.0,0.0
8108 FILIFERA WAY,95843,CA,ANTELOPE,4,3,1768,2008-05-20T00:00:00Z,265000.0,38.717042,-121.35468,265000.0,265000.0,0.2982760045695446,0.23007072608483234,0.30367571281346617,0.5286630875544452,2,7,0.0,0.0,1.0,0.0
230 BANKSIDE WAY,95835,CA,SACRAMENTO,0,0,0,2008-05-20T00:00:00Z,270000.0,38.676937,-121.529244,270000.0,270000.0,0.30393698647817863,0.2670485217056029,0.0,-1.5425353754173043,2,7,0.0,0.0,1.0,0.0
5342 CALABRIA WAY,95835,CA,SACRAMENTO,4,3,2030,2008-05-20T00:00:00Z,270000.0,38.671807,-121.498274,270000.0,270000.0,0.30393698647817863,0.2670485217056029,0.3486774304362762,0.8355940815016163,2,7,0.0,0.0,1.0,0.0
47 NAPONEE CT,95835,CA,SACRAMENTO,3,2,1531,2008-05-20T00:00:00Z,270000.0,38.665704,-121.529096,270000.0,270000.0,0.30393698647817863,0.2670485217056029,0.26296805221573344,0.2510194021900196,2,7,0.0,0.0,1.0,0.0
4236 ADRIATIC SEA WAY,95834,CA,SACRAMENTO,0,0,0,2008-05-20T00:00:00Z,270000.0,38.647961,-121.543162,270000.0,270000.0,0.30393698647817863,0.2670485217056029,0.0,-1.5425353754173043,2,7,0.0,0.0,1.0,0.0
8864 REMBRANT CT,95624,CA,ELK GROVE,4,3,1653,2008-05-20T00:00:00Z,275000.0,38.435288,-121.375703,275000.0,275000.0,0.30959796838681264,0.3040263173263735,0.2839230504981106,0.3939414680738168,2,7,0.0,0.0,1.0,0.0
9455 SEA CLIFF WAY,95758,CA,ELK GROVE,4,2,2056,2008-05-20T00:00:00Z,,38.411522,-121.481406,231379.76190476192,220500.0,0.2602112926453224,-0.018569732516639344,0.35314324974235656,0.8660528824276714,2,6,0.0,0.0,1.0,0.0
9720 LITTLE HARBOR WAY,95624,CA,ELK GROVE,4,3,2494,2008-05-20T00:00:00Z,,38.404934,-121.352405,253319.37931034484,233500.0,0.28505124808839377,0.14368600516766986,0.4283751288217108,1.3791665287973696,2,7,0.0,0.0,1.0,0.0
8806 PHOENIX AVE,95628,CA,FAIR OAKS,3,2,1450,2008-05-20T00:00:00Z,,38.660322,-121.230101,305686.625,215000.0,0.3443412541792199,0.5309710668346193,0.2490553074544829,0.1561285223819247,2,8,0.0,0.0,1.0,0.0
3578 LOGGERHEAD WAY,95834,CA,SACRAMENTO,4,2,2169,2008-05-20T00:00:00Z,292000.0,38.633028,-121.526755,292000.0,292000.0,0.3288453068761683,0.4297508224369934,0.372552387495706,0.9984315172216804,2,8,0.0,0.0,1.0,0.0
1416 LOCKHART WAY,95747,CA,ROSEVILLE,3,2,1440,2008-05-20T00:00:00Z,292000.0,38.752399,-121.330328,292000.0,292000.0,0.3288453068761683,0.4297508224369934,0.2473376846444521,0.14441359894882658,2,8,0.0,0.0,1.0,0.0
5413 BUENA VENTURA WAY,95628,CA,FAIR OAKS,3,2,1527,2008-05-20T00:00:00Z,293993.0,38.664552,-121.25593700000002,293993.0,293993.0,0.3311017742649498,0.4444901717714326,0.26228100309172103,0.2463334328167804,2,8,0.0,0.0,1.0,0.0
37 WHITE BIRCH CT,95678,CA,ROSEVILLE,3,2,1401,2008-05-20T00:00:00Z,294000.0,38.776327,-121.284514,294000.0,294000.0,0.3311096996396219,0.4445419406853017,0.2406389556853315,0.09872539755974387,2,8,0.0,0.0,1.0,0.0
405 MARLIN SPIKE WAY,95838,CA,SACRAMENTO,3,2,1411,2008-05-20T00:00:00Z,296769.0,38.65783,-121.456842,296769.0,296769.0,0.33424475142062343,0.4650202439000844,0.2423565784953624,0.110440320992842,2,8,0.0,0.0,1.0,0.0
1102 CHESLEY LN,95648,CA,LINCOLN,4,4,0,2008-05-20T00:00:00Z,,38.864864,-121.313988,87956.60606060606,4897.0,0.09782811454272973,-1.0792641613348637,0.0,-1.5425353754173043,1,1,0.0,0.0,1.0,0.0
11281 STANFORD COURT LN Unit 604,95670,CA,GOLD RIVER,0,0,0,2008-05-20T00:00:00Z,300000.0,38.625289,-121.260286,300000.0,300000.0,0.3379028779299827,0.4889152954302263,0.0,-1.5425353754173043,2,8,1.0,0.0,0.0,0.0
7320 6TH ST,95673,CA,RIO LINDA,3,1,1284,2008-05-20T00:00:00Z,300000.0,38.700553,-121.452223,300000.0,300000.0,0.3379028779299827,0.4889152954302263,0.22054276880796972,-0.038339206607504256,2,8,0.0,0.0,1.0,0.0
993 MANTON CT,95632,CA,GALT,4,3,2307,2008-05-20T00:00:00Z,300000.0,38.272942,-121.289148,300000.0,300000.0,0.3379028779299827,0.4889152954302263,0.3962555822741326,1.1600974605984344,2,8,0.0,0.0,1.0,0.0
4487 PANORAMA DR,95667,CA,PLACERVILLE,3,2,1329,2008-05-20T00:00:00Z,,38.69455900000001,-120.848157,370959.33333333326,350000.0,0.4182427783797288,1.0136992405074523,0.2282720714531089,0.014377948841437331,3,9,0.0,0.0,1.0,0.0
5651 OVERLEAF WAY,95835,CA,SACRAMENTO,4,2,1910,2008-05-20T00:00:00Z,300500.0,38.677454,-121.494791,300500.0,300500.0,0.3384689761208461,0.4926130749923034,0.3280659567159052,0.6950150003044387,2,8,0.0,0.0,1.0,0.0
2015 PROMONTORY POINT LN,95670,CA,GOLD RIVER,3,2,1981,2008-05-20T00:00:00Z,305000.0,38.628732,-121.261149,305000.0,305000.0,0.3435638598386167,0.5258930910509969,0.3402610786671247,0.7781909566794355,2,8,0.0,0.0,1.0,0.0
3224 PARKHAM DR,95747,CA,ROSEVILLE,0,0,0,2008-05-20T00:00:00Z,306500.0,38.772771,-121.364877,306500.0,306500.0,0.3452621544112069,0.5369864297372281,0.0,-1.5425353754173043,2,8,0.0,0.0,1.0,0.0
15 VANESSA PL,95835,CA,SACRAMENTO,0,0,0,2008-05-20T00:00:00Z,312500.0,38.668692,-121.54549,312500.0,312500.0,0.3520553327015677,0.5813597844821528,0.0,-1.5425353754173043,2,8,0.0,0.0,1.0,0.0
1312 RENISON LN,95648,CA,LINCOLN,5,3,0,2008-05-20T00:00:00Z,315000.0,38.866409,-121.308485,315000.0,315000.0,0.3548858236558848,0.5998486822925381,0.0,-1.5425353754173043,2,8,0.0,0.0,1.0,0.0
8 RIVER RAFT CT,95823,CA,SACRAMENTO,4,2,2205,2008-05-20T00:00:00Z,319789.0,38.447353,-121.434969,319789.0,319789.0,0.3603079121279744,0.6352660149381121,0.3787358296118172,1.0406052415808336,2,8,0.0,0.0,1.0,0.0
2251 LAMPLIGHT LN,95648,CA,LINCOLN,2,2,1449,2008-05-20T00:00:00Z,330000.0,38.849924,-121.275729,330000.0,330000.0,0.3718687693817868,0.7107820691548498,0.2488835451734799,0.1549570300386149,2,9,0.0,0.0,1.0,0.0
106 FARHAM DR,95630,CA,FOLSOM,3,2,1258,2008-05-20T00:00:00Z,330000.0,38.667834,-121.168578,330000.0,330000.0,0.3718687693817868,0.7107820691548498,0.21607694950188933,-0.0687980075335594,2,9,0.0,0.0,1.0,0.0
5405 NECTAR CIR,95757,CA,ELK GROVE,3,2,2575,2008-05-20T00:00:00Z,331000.0,38.387014,-121.440967,331000.0,331000.0,0.3730009657635136,0.7181776282790039,0.4422878735829612,1.4740574086054643,2,9,0.0,0.0,1.0,0.0
5411 10TH AVE,95820,CA,SACRAMENTO,2,1,539,2008-05-20T00:00:00Z,334000.0,38.542727,-121.442449,334000.0,334000.0,0.376397554908694,0.7403643056514663,0.09257986946066643,-0.9111010023733148,2,9,0.0,0.0,1.0,0.0
3512 RAINSONG CIR,95670,CA,RANCHO CORDOVA,4,3,2208,2008-05-20T00:00:00Z,336000.0,38.573488,-121.282809,336000.0,336000.0,0.3786619476721476,0.7551554238997744,0.3792511164548265,1.0441197186107631,2,9,0.0,0.0,1.0,0.0
1106 55TH ST,95819,CA,SACRAMENTO,3,1,1108,2008-05-20T00:00:00Z,339000.0,38.563805,-121.436395,339000.0,339000.0,0.382058536817328,0.7773421012722368,0.1903126073514257,-0.2445218590300313,2,9,0.0,0.0,1.0,0.0
411 ILLSLEY WAY,95630,CA,FOLSOM,4,2,1595,2008-05-20T00:00:00Z,339000.0,38.652002,-121.129504,339000.0,339000.0,0.382058536817328,0.7773421012722368,0.2739608381999313,0.3259949121618476,2,9,0.0,0.0,1.0,0.0
796 BUTTERCUP CIR,95632,CA,GALT,4,2,2159,2008-05-20T00:00:00Z,345000.0,38.279581,-121.300828,345000.0,345000.0,0.3888517151076888,0.8217154560171614,0.370834764685675,0.9867165937885822,2,9,0.0,0.0,1.0,0.0
1230 SANDRA CIR,95667,CA,PLACERVILLE,4,3,2295,2008-05-20T00:00:00Z,350000.0,38.738141,-120.784145,350000.0,350000.0,0.3945126970163229,0.8586932516379321,0.3941944349020955,1.1460395524787168,2,9,0.0,0.0,1.0,0.0
318 ANACAPA DR,95678,CA,ROSEVILLE,3,2,1838,2008-05-20T00:00:00Z,356000.0,38.782094,-121.297133,356000.0,356000.0,0.4013058753066837,0.9030666063828569,0.31569907248368256,0.6106675515861322,3,9,0.0,0.0,1.0,0.0
3975 SHINING STAR DR,95823,CA,SACRAMENTO,4,2,1900,2008-05-20T00:00:00Z,361745.0,38.487409,-121.461413,361745.0,361745.0,0.4078103435197042,0.9455540935511221,0.32634833390587425,0.6833000768713406,3,9,0.0,0.0,1.0,0.0
1620 BASLER ST,95811,CA,SACRAMENTO,4,2,1718,2008-05-20T00:00:00Z,,38.591822,-121.478644,445000.0,445000.0,0.5020713532803692,1.5612713684325734,0.2950875987633116,0.4700884703889546,3,10,0.0,0.0,1.0,0.0
9688 NATURE TRAIL WAY,95757,CA,ELK GROVE,5,3,3389,2008-05-20T00:00:00Z,,38.405224,-121.479275,329582.0967741936,331000.0,0.3713956208616168,0.7076914411402236,0.5821023703194779,2.427652176059652,2,8,0.0,0.0,1.0,0.0
5924 TANUS CIR,95677,CA,ROCKLIN,4,2,0,2008-05-20T00:00:00Z,380000.0,38.778691,-121.204292,380000.0,380000.0,0.42847858846812703,1.0805600253625556,0.0,-1.5425353754173043,3,9,0.0,0.0,1.0,0.0
9629 CEDAR OAK WAY,95757,CA,ELK GROVE,5,4,3260,2008-05-20T00:00:00Z,385000.0,38.405527,-121.431746,385000.0,385000.0,0.434139570376761,1.117537820983326,0.5599450360700791,2.2765296637726866,3,9,0.0,0.0,1.0,0.0
3429 FERNBROOK CT,95682,CA,CAMERON PARK,3,2,2016,2008-05-20T00:00:00Z,399000.0,38.664225,-121.007173,399000.0,399000.0,0.4499903197209362,1.2210756487214836,0.3462727585022329,0.8191931886952789,3,9,0.0,0.0,1.0,0.0
2121 HANNAH WAY,95765,CA,ROCKLIN,4,2,2607,2008-05-20T00:00:00Z,402000.0,38.805749,-121.280931,402000.0,402000.0,0.4533869088661167,1.2432623260939462,0.4477842665750601,1.5115451635913784,3,9,0.0,0.0,1.0,0.0
10104 ANNIE ST,95757,CA,ELK GROVE,4,3,2724,2008-05-20T00:00:00Z,406026.0,38.390465,-121.443479,406026.0,406026.0,0.4579451314989488,1.2730368471277904,0.4678804534524218,1.6486097677586269,3,9,0.0,0.0,1.0,0.0
1092 MAUGHAM CT,95632,CA,GALT,5,4,3746,2008-05-20T00:00:00Z,420000.0,38.271646,-121.286848,420000.0,420000.0,0.4737664437371991,1.37638239032872,0.6434215046375816,2.8458749426212555,3,10,0.0,0.0,1.0,0.0
5404 ALMOND FALLS WAY,95742,CA,RANCHO CORDOVA,0,0,0,2008-05-20T00:00:00Z,,38.527502,-121.233492,342510.0,325750.0,0.3860325461171891,0.8033005137980177,0.0,-1.5425353754173043,2,9,0.0,0.0,1.0,0.0
6306 CONEJO,95683,CA,RANCHO MURIETA,4,2,3192,2008-05-20T00:00:00Z,425000.0,38.512602,-121.087233,425000.0,425000.0,0.4794274256458331,1.4133601859494906,0.5482652009618688,2.196868184427619,3,10,0.0,0.0,1.0,0.0
14 CASA VATONI PL,95834,CA,SACRAMENTO,0,0,0,2008-05-20T00:00:00Z,433500.0,38.650221,-121.551704,433500.0,433500.0,0.48905109489051096,1.4762224385048006,0.0,-1.5425353754173043,3,10,0.0,0.0,1.0,0.0
1456 EAGLESFIELD LN,95648,CA,LINCOLN,4,3,0,2008-05-20T00:00:00Z,436746.0,38.857635,-121.311375,436746.0,436746.0,0.4927262043455962,1.5002284234218048,0.0,-1.5425353754173043,3,10,0.0,0.0,1.0,0.0
4100 BOTHWELL CIR,95762,CA,EL DORADO HILLS,5,3,0,2008-05-20T00:00:00Z,,38.679136,-121.034329,498677.6842105264,471000.0,0.562845033123001,1.9582478556591945,0.0,-1.5425353754173043,3,10,0.0,0.0,1.0,0.0
427 21ST ST,95811,CA,SACRAMENTO,2,1,1247,2008-05-20T00:00:00Z,445000.0,38.582604,-121.47576,445000.0,445000.0,0.5020713532803692,1.5612713684325734,0.21418756441085532,-0.08168442330996734,3,10,0.0,0.0,1.0,0.0
1044 GALSTON DR,95630,CA,FOLSOM,4,2,2581,2008-05-20T00:00:00Z,450000.0,38.676306,-121.09954,450000.0,450000.0,0.5077323351890032,1.5982491640533434,0.4433184472689797,1.4810863626653232,3,10,0.0,0.0,1.0,0.0
4440 SYCAMORE AVE,95841,CA,SACRAMENTO,3,1,2068,2008-05-20T00:00:00Z,460000.0,38.646374,-121.353658,460000.0,460000.0,0.5190542990062712,1.6722047552948849,0.3552043971143937,0.8801107905473892,3,10,0.0,0.0,1.0,0.0
1032 SOUZA DR,95762,CA,EL DORADO HILLS,3,2,0,2008-05-20T00:00:00Z,460000.0,38.668239,-121.064437,460000.0,460000.0,0.5190542990062712,1.6722047552948849,0.0,-1.5425353754173043,3,10,0.0,0.0,1.0,0.0
9760 LAZULITE CT,95624,CA,ELK GROVE,4,3,3992,2008-05-20T00:00:00Z,460000.0,38.403609,-121.335541,460000.0,460000.0,0.5190542990062712,1.6722047552948849,0.6856750257643421,3.1340620590754686,3,10,0.0,0.0,1.0,0.0
241 LANFRANCO CIR,95835,CA,SACRAMENTO,4,4,3397,2008-05-20T00:00:00Z,,38.665696,-121.549437,270891.6857142857,261000.0,0.3049465498175304,0.2736430361257665,0.5834764685675026,2.4370241148061305,2,7,0.0,0.0,1.0,0.0
5559 NORTHBOROUGH DR,95835,CA,SACRAMENTO,5,3,3881,2008-05-20T00:00:00Z,471750.0,38.677225,-121.519687,471750.0,471750.0,0.5323576064915612,1.7591025750036955,0.666609412572999,3.0040264089680804,3,10,0.0,0.0,1.0,0.0
2125 BIG SKY DR,95765,CA,ROCKLIN,5,3,0,2008-05-20T00:00:00Z,480000.0,38.801637,-121.278798,480000.0,480000.0,0.5416982266408074,1.8201159377779668,0.0,-1.5425353754173043,3,10,0.0,0.0,1.0,0.0
2109 HAMLET PL,95608,CA,CARMICHAEL,2,2,1598,2008-05-20T00:00:00Z,484000.0,38.602754,-121.329326,484000.0,484000.0,0.5462270121677145,1.8496981742745835,0.27447612504294056,0.3295093891917771,3,10,0.0,0.0,1.0,0.0
9970 STATE HIGHWAY 193,95667,CA,PLACERVILLE,4,3,1929,2008-05-20T00:00:00Z,485000.0,38.787877,-120.816676,485000.0,485000.0,0.5473592085494413,1.8570937333987367,0.33132944005496395,0.7172733548273252,3,10,0.0,0.0,1.0,0.0
2901 PINTAIL WAY,95757,CA,ELK GROVE,4,3,3070,2008-05-20T00:00:00Z,,38.398488,-121.473424,329582.0967741936,331000.0,0.3713956208616168,0.7076914411402236,0.5273102026794916,2.0539461185438217,2,8,0.0,0.0,1.0,0.0
201 FIRESTONE DR,95678,CA,ROSEVILLE,0,0,0,2008-05-20T00:00:00Z,500500.0,38.770153,-121.30003899999998,500500.0,500500.0,0.5649082524662068,1.9717248998231265,0.0,-1.5425353754173043,3,10,0.0,0.0,1.0,0.0
1740 HIGH ST,95603,CA,AUBURN,3,3,0,2008-05-20T00:00:00Z,504000.0,38.891935,-121.08434,504000.0,504000.0,0.5688709398022506,1.9976093567576656,0.0,-1.5425353754173043,3,10,0.0,0.0,1.0,0.0
2733 DANA LOOP,95762,CA,EL DORADO HILLS,0,0,0,2008-05-20T00:00:00Z,541000.0,38.628459,-121.055078,541000.0,541000.0,0.6107622059261423,2.2712450443513683,0.0,-1.5425353754173043,4,10,0.0,0.0,1.0,0.0
9741 SADDLEBRED CT,95693,CA,WILTON,0,0,0,2008-05-20T00:00:00Z,560000.0,38.408841,-121.198039,560000.0,560000.0,0.6322739371789515,2.411760667710296,0.0,-1.5425353754173043,4,10,0.0,0.0,1.0,0.0
7756 TIGERWOODS DR,95829,CA,SACRAMENTO,5,3,3984,2008-05-20T00:00:00Z,572500.0,38.47643,-121.309243,572500.0,572500.0,0.6464263919505366,2.5042051567622226,0.6843009275163174,3.1246901203289914,4,10,0.0,0.0,1.0,0.0
5709 RIVER OAK WAY,95608,CA,CARMICHAEL,4,2,2222,2008-05-20T00:00:00Z,582000.0,38.602461,-121.330979,582000.0,582000.0,0.6571822575769413,2.5744629684416864,0.3816557883888698,1.0605206114171004,4,10,0.0,0.0,1.0,0.0
2981 WRINGER DR,95661,CA,ROSEVILLE,4,3,3838,2008-05-20T00:00:00Z,613401.0,38.735373,-121.227072,613401.0,613401.0,0.6927343561595446,2.8066909204992503,0.659223634489866,2.953652238205758,4,10,0.0,0.0,1.0,0.0
